product_type;exporter_cnpj;vol;port_of_export;country_of_destination
SOYBEANS;4485210000330;1400000.0;PARANAGUA;IRAN
SOYBEAN CAKE;4485210000330;1031000.0;PARANAGUA;SOUTH KOREA
SOYBEANS;4485210000330;3000000.0;PARANAGUA;SOUTH KOREA
SOYBEANS;4485210000330;5000000.0;SAO LUIS;SPAIN
SOYBEAN CAKE;4485210000330;2203549.083;PARANAGUA;THAILAND
SOYBEANS;4485210000330;66000000.0;SAO LUIS;THAILAND
SOYBEAN CAKE;4485210000330;33462.13801367187;PARANAGUA;TURKEY
SOYBEANS;4485210000682;322268048.0;RIO GRANDE;CHINA (MAINLAND)
SOYBEANS;4485210000682;40600000.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEANS;4485210000682;1200000.0;SAO LUIS;CHINA (MAINLAND)
SOYBEANS;4485210000682;19000000.0;RIO GRANDE;TAIWAN
SOYBEANS;4485210000682;3000000.0;SAO FRANCISCO DO SUL;TAIWAN
SOYBEANS;4485210000763;60000000.0;BARCARENA;CHINA (MAINLAND)
SOYBEANS;4485210000763;137913322.0;SALVADOR;CHINA (MAINLAND)
SOYBEANS;4485210000763;8000000.0;SALVADOR;TAIWAN
SOYBEANS;4485210000763;55000000.0;BARCARENA;TURKEY
SOYBEANS;4485210001140;8000000.0;BARCARENA;ALGERIA
SOYBEANS;4485210001140;32888000.0;SANTANA;ALGERIA
